,0
1207,Clean Bandit
1208,Pixies
1209,Deftones
1210, René Miller
1211,IVE
1212, Kane Brown
1213,Shakira
1214, Malou
1215, John Martin
1216,Yuuri
1217,Jungeli
1218, Christina Aguilera
1219,Jung Kook
1220,Camila
1221,Lazza
1222, Nicki Minaj
1223, Miley Cyrus
1224, Prodgk
1225,DJ TOPO
1226,Maná
1227,ZICO
1228, Brray
1229,girl in red
1230,Gregory Alan Isakov
1231,The Chainsmokers
1232,Marshmello
1233, Chris Jedi
1234,Grupo Frontera
1235, Kenia OS
1236,Chris Brown
1237, Flo Rida
1238,Tracy Chapman
1239, Rich Brian
1240,Michael Jackson
1241,Queens of the Stone Age
1242, Lucy Dacus
1243,Mark Morrison
1244,The Neighbourhood
1245,.diedlonely
1246,Hans Zimmer
1247,Cyndi Lauper
1248,iZaak
1249, Shenseea
1250,Linkin Park
1251,Chappell Roan
1252,James Hype
1253,Taylor Swift
1254, NATTI NATASHA
1255, Ayra Starr
1256,Alex Favela
1257,Ben E. King
1258,Home
1259,Swedish House Mafia
1260,OneRepublic
1261,My Chemical Romance
1262, Gurlez Akhtar
1263,Pop Smoke
1264,Cris Mj
1265, Shallipopi
1266,Katy Perry
1267,Becky G
1268, Ryan Castro
1269,Meek Mill
1270, Punch
1271,Fountains Of Wayne
1272,KAROL G
1273,Ella Henderson
1274,Danzig
1275, Bnxn
1276,Noah Kahan
1277,Billy Idol
1278, Jonas Brothers
1279,Doechii
1280,Mitski
1281, Miggy Dela Rosa
1282,Future
1283,MoBlack
1284, Camila Cabello
1285,Dean Lewis
1286,ヨルシカ
1287, T-Shyne
1288,Libianca
1289,Jennifer Lopez
1290,American Authors
1291, ATL Jacob
1292, Monica
1293,Mariah Carey
1294,DENNIS
1295,Avenged Sevenfold
1296, Gabito Ballesteros
1297,Alesso
1298,Yami Safdie
1299,Lil Baby
1300,Owl City
1301,DJ Khaled
1302,Clave Especial
